brand_name,category_name,quality_code,count_items_per_category,avg_erp,avg_listed_price,avg_sold_price
Brunello Cucinelli,Ankle Boots,Q2,2,1680,248.24,201.74
Brunello Cucinelli,Beanie,Q1,1,270,267.74,267.74
Brunello Cucinelli,Beanie,Q2,1,550,220.74,220.74
Brunello Cucinelli,Belt,Q1,1,229,null,null
Brunello Cucinelli,Blazer,Q1,1,2366,524.74,524.74
Brunello Cucinelli,Blazer,Q2,4,1631.25,213.24,219.41
Brunello Cucinelli,Boots,Q3,2,1450,442.74,null
Brunello Cucinelli,Cardigan,Q1,8,1657.63,477.99,337.78
Brunello Cucinelli,Cardigan,Q2,12,1603.42,347.04,251.24
Brunello Cucinelli,Cardigan,Q3,2,2150,243.24,140.74
Brunello Cucinelli,Cashmere Cardigan,Q1,3,1268,383.24,383.24
Brunello Cucinelli,Cashmere Cardigan,Q2,8,1701.25,332.62,329.6
Brunello Cucinelli,Cashmere Cardigan,Q3,2,1705,170.24,170.24
Brunello Cucinelli,Cashmere Pullover Sweater,Q1,2,1550,348.74,null
Brunello Cucinelli,Cashmere Pullover Sweater,Q2,10,1705.5,341.14,295.63
Brunello Cucinelli,Cashmere Pullover Sweater,Q3,1,1200,239.74,239.74
Brunello Cucinelli,Cashmere Scarf,Q2,1,1400,279.74,279.74
Brunello Cucinelli,Casual Dress,Q1,4,2493.25,441.74,371.24
Brunello Cucinelli,Casual Dress,Q2,10,1860.6,273.12,166.79
Brunello Cucinelli,Casual Dress,Q3,2,2375,305.74,289.74
Brunello Cucinelli,Casual Pants,Q1,6,1017.5,243.99,253.74
Brunello Cucinelli,Casual Pants,Q2,15,1290.8,240.51,150.79
Brunello Cucinelli,Casual Pants,Q3,5,1122,188.94,152.07
Brunello Cucinelli,Casual Skirt,Q1,1,2600,130.74,130.74
Brunello Cucinelli,Casual Skirt,Q2,2,1360,370.74,370.74
Brunello Cucinelli,Casual Skirt,Q3,2,1425,124.74,111.74
Brunello Cucinelli,Coat,Q2,1,1300,351.74,351.74
