item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
210766778,Alexander McQueen,Denim Skirt,Q1,1895.0,227.74,269.74
215586630,Alexander McQueen,Denim Skirt,Q1,1895.0,269.74,269.74
206429384,Alexander McQueen,Dress Pants,Q2,358.0,186.74,186.74
213283644,Alexander McQueen,Dress Pants,Q2,1190.0,261.74,75.74
207683410,Alexander McQueen,Dress Pants,Q2,990.0,98.74,98.74
212835600,Alexander McQueen,Faux Leather Skirt,Q1,1350.0,256.74,256.74
212609923,Alexander McQueen,Flats,Q2,790.0,125.74,125.74
209314318,Alexander McQueen,Flats,Q2,750.0,285.74,285.74
205994246,Alexander McQueen,Flats,Q2,950.0,133.74,133.74
206365985,Alexander McQueen,Flats,Q2,330.0,69.74,69.74
207433538,Alexander McQueen,Flats,Q3,790.0,102.74,73.74
208599705,Alexander McQueen,Flats,Q3,1090.0,217.74,217.74
213484937,Alexander McQueen,Formal Skirt,Q1,1150.0,264.74,115.74
212236887,Alexander McQueen,Formal Skirt,Q1,1490.0,509.74,509.74
215138330,Alexander McQueen,Heels,Q1,990.0,376.74,376.74
206305894,Alexander McQueen,Heels,Q2,1200.0,168.74,168.74
210863447,Alexander McQueen,Heels,Q2,382.0,106.74,106.74
211931771,Alexander McQueen,Heels,Q2,1150.0,252.74,252.74
207443431,Alexander McQueen,Heels,Q2,995.0,238.74,238.74
211440660,Alexander McQueen,Heels,Q2,485.0,259.74,0.0
213056379,Alexander McQueen,Heels,Q2,965.0,754.74,754.74
209024428,Alexander McQueen,Heels,Q2,950.0,500.74,0.0
213719683,Alexander McQueen,Heels,Q2,1150.0,161.74,161.74
205807935,Alexander McQueen,Heels,Q2,780.0,155.74,155.74
209698552,Alexander McQueen,Heels,Q3,1050.0,178.74,170.74
209748303,Alexander McQueen,Heels,Q3,1269.0,150.74,135.74
209698706,Alexander McQueen,Heels,Q3,1150.0,264.74,202.74
209978747,Alexander McQueen,Heels,Q3,1250.0,450.74,0.0
210731070,Alexander McQueen,Heels,Q3,990.0,118.74,118.74
214195566,Alexander McQueen,Heels,Q3,850.0,127.74,127.74
213541752,Alexander McQueen,Jacket,Q1,500.0,109.74,109.74
215310965,Alexander McQueen,Jacket,Q1,1490.0,804.74,349.74
209797374,Alexander McQueen,Jacket,Q2,1430.0,789.74,199.74
215895672,Alexander McQueen,Jacket,Q2,500.0,109.74,109.74
213590720,Alexander McQueen,Jacket,Q2,1200.0,480.74,480.74
213590804,Alexander McQueen,Jacket,Q2,1695.0,594.74,594.74
211049548,Alexander McQueen,Jeans,Q1,1190.0,226.74,226.74
208580079,Alexander McQueen,Jeans,Q1,1090.0,329.74,289.74
213461251,Alexander McQueen,Jeans,Q1,500.0,175.74,175.74
213283243,Alexander McQueen,Jeans,Q2,1100.0,275.74,60.74
211343180,Alexander McQueen,Jeans,Q2,1090.0,250.74,250.74
209475357,Alexander McQueen,Jeans,Q2,890.0,222.74,222.74
209483267,Alexander McQueen,Leather Belt,Q1,820.0,229.74,144.74
209531720,Alexander McQueen,Leather Card Holder,Q1,175.0,122.74,122.74
214644921,Alexander McQueen,Leather Card Holder,Q2,260.0,145.74,125.74
208928742,Alexander McQueen,Leather Clutch,Q1,520.0,395.74,395.74
211126273,Alexander McQueen,Leather Clutch,Q1,520.0,452.74,0.0
209004926,Alexander McQueen,Leather Clutch,Q2,3435.0,929.74,929.74
215589614,Alexander McQueen,Leather Clutch,Q2,595.0,142.74,142.74
210792569,Alexander McQueen,Leather Clutch,Q2,2200.0,439.74,304.74
212242097,Alexander McQueen,Leather Clutch,Q3,1545.0,231.74,231.74
213283847,Alexander McQueen,Leather Pants,Q1,2149.0,644.74,644.74
210096065,Alexander McQueen,Leather Satchel,Q1,1590.0,377.74,377.74
210991442,Alexander McQueen,Leather Satchel,Q2,1695.0,554.74,0.0
211363279,Alexander McQueen,Leather Satchel,Q2,2390.0,529.74,488.74
209504488,Alexander McQueen,Leather Satchel,Q3,2165.0,497.74,259.74
213927621,Alexander McQueen,Leather Tote,Q1,1645.0,789.74,0.0
205928945,Alexander McQueen,Leather Tote,Q1,2460.0,544.74,659.74
209260997,Alexander McQueen,Leather Tote,Q2,1500.0,529.74,529.74
207186091,Alexander McQueen,Leather Tote,Q2,1545.0,448.74,448.74
216911715,Alexander McQueen,Leather Tote,Q3,458.0,100.74,100.74
213927243,Alexander McQueen,Leather Wristlet,Q1,490.0,382.74,0.0
206508465,Alexander McQueen,Leggings,Q2,786.0,204.74,204.74
213088475,Alexander McQueen,Mule/Clog,Q3,595.0,101.74,101.74
215368268,Alexander McQueen,Pullover Sweater,Q2,850.0,229.74,229.74
213283149,Alexander McQueen,Pullover Sweater,Q2,850.0,229.74,229.74
208057293,Alexander McQueen,Pullover Sweater,Q2,995.0,298.74,298.74
206517626,Alexander McQueen,Pullover Sweater,Q2,950.0,252.74,299.74
212624630,Alexander McQueen,Sandals,Q1,790.0,213.74,213.74
210068106,Alexander McQueen,Sandals,Q2,1190.0,154.74,154.74
215432759,Alexander McQueen,Sandals,Q2,400.0,92.74,92.74
208568697,Alexander McQueen,Sandals,Q2,440.0,145.74,145.74
208271892,Alexander McQueen,Sandals,Q2,895.0,152.74,152.74
215432644,Alexander McQueen,Sandals,Q2,450.0,98.74,98.74
208875888,Alexander McQueen,Sandals,Q3,290.0,101.74,101.74
205945309,Alexander McQueen,Sandals,Q3,440.0,110.74,110.74
210699651,Alexander McQueen,Satchel,Q2,2195.0,659.74,659.74
210383089,Alexander McQueen,Scarf,Q1,395.0,289.74,269.74
215456211,Alexander McQueen,Scarf,Q1,545.0,223.74,223.74
213514325,Alexander McQueen,Scarf,Q1,395.0,269.74,245.74
206385970,Alexander McQueen,Scarf,Q1,250.0,199.74,199.74
212960246,Alexander McQueen,Scarf,Q1,390.0,226.74,226.74
213093360,Alexander McQueen,Scarf,Q1,245.0,122.74,122.74
212051412,Alexander McQueen,Scarf,Q1,390.0,269.74,195.74
212887240,Alexander McQueen,Scarf,Q1,395.0,118.74,118.74
214445379,Alexander McQueen,Scarf,Q2,360.0,97.74,97.74
214545825,Alexander McQueen,Scarf,Q2,395.0,138.74,138.74
213089759,Alexander McQueen,Scarf,Q2,345.0,103.74,103.74
211363164,Alexander McQueen,Scarf,Q2,350.0,115.74,115.74
208808430,Alexander McQueen,Short Sleeve T-Shirt,Q1,490.0,97.74,97.74
215917762,Alexander McQueen,Short Sleeve T-Shirt,Q2,320.0,143.74,143.74
211127295,Alexander McQueen,Short Sleeve T-Shirt,Q2,200.0,50.74,50.74
213326786,Alexander McQueen,Short Sleeve Top,Q2,450.0,193.74,193.74
215171951,Alexander McQueen,Short Sleeve Turtleneck,Q3,490.0,73.74,73.74
212075522,Alexander McQueen,Silk Blazer,Q2,1680.0,554.74,554.74
218976850,Alexander McQueen,Silk Scarf,Q1,395.0,209.74,209.74
214806329,Alexander McQueen,Silk Scarf,Q1,395.0,225.74,225.74
214315425,Alexander McQueen,Silk Scarf,Q1,337.0,269.74,269.74
207468029,Alexander McQueen,Silk Scarf,Q1,480.0,201.74,201.74
216857385,Alexander McQueen,Silk Scarf,Q1,395.0,209.74,209.74
211182807,Alexander McQueen,Silk Scarf,Q2,395.0,199.74,199.74
206658992,Alexander McQueen,Silk Scarf,Q2,420.0,285.74,285.74
206810160,Alexander McQueen,Silk Scarf,Q2,650.0,279.74,279.74
210472362,Alexander McQueen,Silk Scarf,Q2,295.0,126.74,126.74
216101533,Alexander McQueen,Silk Scarf,Q2,395.0,138.74,138.74
215139293,Alexander McQueen,Silk Scarf,Q2,295.0,147.74,147.74
206658930,Alexander McQueen,Silk Scarf,Q2,395.0,221.74,221.74
209788332,Alexander McQueen,Silk Scarf,Q2,390.0,270.74,270.74
209288351,Alexander McQueen,Silk Scarf,Q2,420.0,285.74,285.74
207291367,Alexander McQueen,Silk Scarf,Q2,390.0,97.74,97.74
214998610,Alexander McQueen,Silk Scarf,Q2,395.0,189.74,189.74
207405652,Alexander McQueen,Silk Skirt,Q2,1500.0,574.74,0.0
206518086,Alexander McQueen,Skort,Q2,1150.0,279.74,0.0
209832785,Alexander McQueen,Sleeveless Blouse,Q1,1150.0,287.74,249.74
207986884,Alexander McQueen,Sleeveless Blouse,Q1,300.0,72.74,72.74
212996587,Alexander McQueen,Sleeveless Blouse,Q1,1150.0,249.74,249.74
213283545,Alexander McQueen,Sleeveless T-Shirt,Q2,500.0,135.74,95.74
212098548,Alexander McQueen,Sleeveless Top,Q1,1090.0,152.74,152.74
212651735,Alexander McQueen,Sleeveless Top,Q2,890.0,213.74,213.74
208628728,Alexander McQueen,Sleeveless Top,Q2,1090.0,239.74,239.74
207580421,Alexander McQueen,Sleeveless Top,Q3,1290.0,180.74,180.74
218036882,Alexander McQueen,Sleeveless Top,Q3,950.0,114.74,114.74
213142559,Alexander McQueen,Sneakers,Q1,837.0,251.74,251.74
218351454,Alexander McQueen,Sneakers,Q2,590.0,129.74,129.74
207613534,Alexander McQueen,Sneakers,Q2,890.0,364.74,264.74
211963237,Alexander McQueen,Sneakers,Q2,425.0,114.74,114.74
207215908,Alexander McQueen,Sneakers,Q2,590.0,194.74,194.74
206653496,Alexander McQueen,Sneakers,Q2,590.0,182.74,182.74
210826256,Alexander McQueen,Sneakers,Q2,590.0,147.74,147.74
209194750,Alexander McQueen,Sneakers,Q2,590.0,236.74,236.74
207480200,Alexander McQueen,Sneakers,Q2,890.0,238.74,226.74
208068986,Alexander McQueen,Sneakers,Q2,590.0,212.74,212.74
211993660,Alexander McQueen,Sneakers,Q2,590.0,289.74,276.74
206963260,Alexander McQueen,Sneakers,Q2,590.0,79.74,79.74
214198399,Alexander McQueen,Sneakers,Q2,590.0,194.74,194.74
208229036,Alexander McQueen,Sneakers,Q2,590.0,129.74,129.74
208139570,Alexander McQueen,Sneakers,Q2,590.0,194.74,194.74
206638348,Alexander McQueen,Sneakers,Q2,490.0,249.74,249.74
208273416,Alexander McQueen,Sneakers,Q3,590.0,112.74,112.74
208139417,Alexander McQueen,Sneakers,Q3,590.0,253.74,0.0
210656783,Alexander McQueen,Sneakers,Q3,590.0,123.74,125.74
208900122,Alexander McQueen,Sneakers,Q3,560.0,173.74,173.74
