item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
214564449,Acne Studios,Short Sleeve T-Shirt,Q2,151.0,52.74,52.74
206624309,Acne Studios,Short Sleeve T-Shirt,Q2,100.0,65.74,65.74
211968019,Acne Studios,Short Sleeve T-Shirt,Q2,350.0,122.74,75.74
208720164,Acne Studios,Short Sleeve T-Shirt,Q2,152.0,30.74,32.74
209860859,Acne Studios,Short Sleeve T-Shirt,Q2,254.0,106.74,106.74
207445615,Acne Studios,Short Sleeve T-Shirt,Q2,190.0,74.74,74.74
212797245,Acne Studios,Short Sleeve T-Shirt,Q2,260.0,78.74,98.74
205890038,Acne Studios,Short Sleeve T-Shirt,Q2,260.0,96.74,96.74
207380740,Acne Studios,Short Sleeve T-Shirt,Q3,380.0,57.74,57.74
205816334,Acne Studios,Short Sleeve T-Shirt,Q3,150.0,32.74,34.74
206500313,Acne Studios,Short Sleeve T-Shirt,Q3,320.0,76.74,76.74
208610473,Acne Studios,Short Sleeve T-Shirt,Q3,350.0,38.74,32.74
212110727,Acne Studios,Short Sleeve Turtleneck,Q1,295.0,109.74,109.74
207653747,Acne Studios,Silk Pants,Q1,700.0,182.74,109.74
207149149,Acne Studios,Sleeveless Blouse,Q2,230.0,59.74,55.74
208824728,Acne Studios,Sleeveless Top,Q2,420.0,109.74,99.74
211116672,Acne Studios,Sneakers,Q1,620.0,285.74,285.74
208641348,Acne Studios,Sneakers,Q3,410.0,65.74,65.74
207982570,Acne Studios,Sneakers,Q3,580.0,69.74,66.74
208803787,Acne Studios,Sneakers,Q3,500.0,120.74,120.74
209231481,Acne Studios,Sunglasses,Q2,320.0,143.74,143.74
212241551,Acne Studios,Sweater Vest,Q3,350.0,87.74,87.74
215023725,Acne Studios,Sweatshirt,Q2,410.0,86.74,86.74
206614830,Acne Studios,Sweatshirt,Q2,470.0,150.74,140.74
212331463,Acne Studios,Sweatshirt,Q2,500.0,109.74,109.74
207844568,Acne Studios,Sweatshirt,Q2,325.0,126.74,126.74
207214155,Acne Studios,Sweatshirt,Q2,470.0,235.74,158.74
207213516,Acne Studios,Sweatshirt,Q2,320.0,112.74,0.0
207214503,Acne Studios,Sweatshirt,Q2,480.0,124.74,0.0
214543566,Acne Studios,Sweatshirt,Q2,580.0,145.74,145.74
206806134,Acne Studios,Sweatshirt,Q3,410.0,69.74,69.74
213869401,Acne Studios,Sweatshirt,Q3,250.0,82.74,82.74
210788914,Acne Studios,Sweatshirt,Q3,580.0,115.74,72.74
206743472,Acne Studios,Swimsuit Top,Q2,165.0,66.74,60.74
206959443,Acne Studios,Tank Top,Q1,115.0,42.74,42.74
210219692,Acne Studios,Tote,Q3,990.0,267.74,267.74
212716854,Acne Studios,Turtleneck Sweater,Q1,340.0,159.74,159.74
209117743,Acne Studios,Turtleneck Sweater,Q2,700.0,175.74,0.0
209688691,Acne Studios,Turtleneck Sweater,Q2,450.0,238.74,238.74
211398327,Acne Studios,Turtleneck Sweater,Q2,400.0,196.74,0.0
209598049,Acne Studios,Turtleneck Sweater,Q2,900.0,386.74,126.74
209829585,Acne Studios,Turtleneck Sweater,Q3,890.0,177.74,177.74
212948566,Acne Studios,Wool Cardigan,Q1,540.0,118.74,118.74
207544121,Acne Studios,Wool Cardigan,Q2,570.0,165.74,165.74
210578442,Acne Studios,Wool Cardigan,Q2,560.0,207.74,207.74
214473716,Acne Studios,Wool Cardigan,Q3,310.0,105.74,105.74
211667420,Acne Studios,Wool Coat,Q1,1150.0,241.74,241.74
209284440,Acne Studios,Wool Coat,Q2,1050.0,189.74,189.74
212740617,Acne Studios,Wool Coat,Q2,1000.0,500.74,400.74
207246190,Acne Studios,Wool Pants,Q1,850.0,153.74,94.74
213214402,Acne Studios,Wool Pants,Q2,700.0,126.74,126.74
211136859,Acne Studios,Wool Pants,Q2,1150.0,414.74,173.74
212432636,Acne Studios,Wool Pants,Q2,640.0,185.74,185.74
209478598,Acne Studios,Wool Pants,Q2,350.0,122.74,122.74
216315261,Acne Studios,Wool Pants,Q3,650.0,64.74,64.74
208414751,Acne Studios,Wool Pullover Sweater,Q1,700.0,223.74,167.74
211068508,Acne Studios,Wool Pullover Sweater,Q2,480.0,95.74,95.74
207213390,Acne Studios,Wool Pullover Sweater,Q2,550.0,109.74,109.74
210534978,Acne Studios,Wool Pullover Sweater,Q2,580.0,307.74,307.74
207981669,Acne Studios,Wool Pullover Sweater,Q2,252.0,100.74,100.74
207980984,Acne Studios,Wool Pullover Sweater,Q2,450.0,162.74,123.74
207350943,Acne Studios,Wool Pullover Sweater,Q2,540.0,162.74,162.74
211391982,Acne Studios,Wool Pullover Sweater,Q3,900.0,179.74,179.74
208414602,Acne Studios,Wool Pullover Sweater,Q3,390.0,128.74,128.74
206772512,Acne Studios,Wool Pullover Sweater,Q3,340.0,64.74,64.74
208599903,Acne Studios,Wool Pullover Sweater,Q3,750.0,135.74,135.74
206397936,Acne Studios,Wool Pullover Sweater,Q3,310.0,65.74,65.74
217567701,Acne Studios,Wool Skirt,Q2,350.0,126.74,126.74
209785223,Acne Studios,Wool Skirt,Q2,470.0,150.74,150.74
216233004,Acne Studios,Zip Up Hoodie,Q3,850.0,127.74,127.74
215570273,Acne Studios x Honey Dijon,Long Sleeve Polo,Q2,229.0,48.74,48.74
208381906,Acne Studios x Honey Dijon,Tank Top,Q2,250.0,54.74,54.74
214002196,Acne Studios x Moomin,Short Sleeve T-Shirt,Q2,153.0,32.74,32.74
205755119,Adidas X Fear of God Athletics,Sandals,Q1,100.0,20.74,20.74
212311935,Adidas X Fear of God Athletics,Tank Top,Q1,150.0,101.74,77.74
212311935,Adidas X Fear of God Athletics,Tank Top,Q1,150.0,101.74,77.74
209278591,Adidas X Fear of God Athletics,Turtleneck Sweater,Q1,330.0,165.74,109.74
206001081,Adidas X PHARRELL WILLIAMS,Sneakers,Q3,102.0,27.74,27.74
208433281,Adidas x Wales Bonner,Track Pants,Q3,230.0,62.74,62.74
212928948,Adidas x Yeezy,Pullover Sweater,Q3,405.0,125.74,125.74
212928948,Adidas x Yeezy,Pullover Sweater,Q3,405.0,125.74,125.74
208597386,Adidas x Yeezy,Sandals,Q2,70.0,69.74,69.74
208457658,Adidas x Yeezy,Sandals,Q2,60.0,59.74,59.74
211810244,Adidas x Yeezy,Sandals,Q2,70.0,69.74,69.74
207452558,Adidas x Yeezy,Sandals,Q2,90.0,52.74,52.74
215690009,Adidas x Yeezy,Sandals,Q3,60.0,19.74,19.74
208237686,Adidas x Yeezy,Sandals,Q3,70.0,35.74,35.74
208430783,Adidas x Yeezy,Sandals,Q3,60.0,59.74,59.74
208810677,Adidas x Yeezy,Sneakers,Q1,220.0,173.74,173.74
213601899,Adidas x Yeezy,Sneakers,Q1,260.0,257.74,257.74
211232169,Adidas x Yeezy,Sneakers,Q1,220.0,176.74,80.74
207673767,Adidas x Yeezy,Sneakers,Q1,220.0,206.74,206.74
206102991,Adidas x Yeezy,Sneakers,Q1,230.0,144.74,100.74
213433354,Adidas x Yeezy,Sneakers,Q1,210.0,75.74,75.74
210271145,Adidas x Yeezy,Sneakers,Q1,220.0,184.74,184.74
208926010,Adidas x Yeezy,Sneakers,Q1,200.0,122.74,122.74
206478234,Adidas x Yeezy,Sneakers,Q1,120.0,88.74,88.74
209357358,Adidas x Yeezy,Sneakers,Q2,220.0,145.74,145.74
208924853,Adidas x Yeezy,Sneakers,Q2,80.0,79.74,79.74
207158283,Adidas x Yeezy,Sneakers,Q2,220.0,149.74,149.74
206813774,Adidas x Yeezy,Sneakers,Q2,230.0,154.74,154.74
212912072,Adidas x Yeezy,Sneakers,Q2,300.0,249.74,249.74
213433272,Adidas x Yeezy,Sneakers,Q2,210.0,65.74,65.74
214203855,Adidas x Yeezy,Sneakers,Q2,210.0,111.74,111.74
214203855,Adidas x Yeezy,Sneakers,Q2,210.0,111.74,111.74
211773102,Adidas x Yeezy,Sneakers,Q2,220.0,129.74,129.74
209593292,Adidas x Yeezy,Sneakers,Q2,240.0,132.74,132.74
206192803,Adidas x Yeezy,Sneakers,Q2,250.0,70.74,70.74
215348012,Adidas x Yeezy,Sneakers,Q2,220.0,118.74,118.74
208474133,Adidas x Yeezy,Sneakers,Q2,230.0,190.74,182.74
211381984,Adidas x Yeezy,Sneakers,Q2,220.0,217.74,75.74
215496129,Adidas x Yeezy,Sneakers,Q2,140.0,62.74,62.74
212060127,Adidas x Yeezy,Sneakers,Q2,300.0,169.74,169.74
212269413,Adidas x Yeezy,Sneakers,Q2,210.0,142.74,142.74
207095266,Adidas x Yeezy,Sneakers,Q3,220.0,121.74,121.74
208024498,Adidas x Yeezy,Sneakers,Q3,220.0,74.74,74.74
213586953,Adidas x Yeezy,Sneakers,Q3,220.0,57.74,57.74
214662231,Adidas x Yeezy,Sneakers,Q3,200.0,52.74,52.74
207723498,Adidas x Yeezy,Sneakers,Q3,200.0,122.74,122.74
207723498,Adidas x Yeezy,Sneakers,Q3,200.0,122.74,122.74
210157845,Adidas x Yeezy,Sneakers,Q3,200.0,82.74,82.74
209539339,Adidas x Yeezy,Sneakers,Q3,220.0,77.74,85.74
205824341,Adidas x Yeezy,Sneakers,Q3,220.0,165.74,130.74
212821400,Adidas x Yeezy,Sneakers,Q3,220.0,85.74,85.74
205886307,Adidas x Yeezy,Sneakers,Q3,120.0,57.74,51.74
209568302,Adidas x Yeezy,Sneakers,Q3,220.0,170.74,0.0
210473722,Adidas x Yeezy,Sneakers,Q3,220.0,110.74,110.74
211784106,Adidas x Yeezy,Sneakers,Q3,220.0,140.74,39.74
210109729,Adidas x Yeezy,Sneakers,Q3,220.0,132.74,132.74
206814108,Adidas x Yeezy,Sneakers,Q3,220.0,140.74,140.74
