,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
18,Roberto Cavalli,Cocktail Dress,$259.27,466,7.70%,17.20%,30.30%,67.80%,75.80%,76.20%,76.20%
19,Tom Ford,Sunglasses,$137.34,412,38.30%,58.70%,76.20%,88.60%,90.30%,90.30%,90.30%
20,Zimmermann,Casual Dress,$378.71,412,22.10%,29.40%,41.50%,78.40%,85.90%,85.90%,85.90%
21,Michael Kors,Watch,$75.57,390,39.00%,57.40%,75.60%,84.90%,86.40%,86.40%,86.40%
22,Prada,Sunglasses,$169.77,389,38.00%,57.80%,72.50%,87.10%,88.40%,88.40%,88.40%
23,Jimmy Choo,Wedges,$151.10,381,12.10%,21.50%,40.90%,73.00%,84.00%,84.30%,84.30%
24,Jimmy Choo,Sandals,$169.80,368,18.50%,30.20%,49.20%,76.10%,82.90%,82.90%,82.90%
25,Burberry,Trenchcoat,$400.20,365,36.20%,49.30%,65.20%,87.10%,89.00%,89.00%,89.00%
26,Gucci,Sandals,$236.34,362,30.70%,44.20%,57.70%,79.00%,85.60%,85.60%,85.60%
27,Max Mara,Cocktail Dress,$167.64,353,12.50%,22.40%,34.60%,70.80%,85.60%,86.70%,86.70%
28,Gucci,Flats,$247.93,337,27.00%,39.50%,59.90%,82.50%,87.50%,87.50%,87.50%
29,Louis Vuitton,Leather Wallet,$255.58,332,10.20%,15.40%,22.30%,68.70%,84.90%,84.90%,84.90%
30,Kate Spade New York,Leather Crossbody Bag,$78.20,324,41.70%,60.80%,77.50%,89.80%,91.40%,91.40%,91.40%
31,Hermès,Silk Scarf,$291.64,318,38.70%,52.50%,66.70%,90.60%,93.10%,93.10%,93.10%
32,Burberry,Scarf,$189.00,317,41.00%,51.70%,61.80%,86.40%,89.60%,89.60%,89.60%
33,Jimmy Choo,Flats,$161.92,317,11.70%,23.00%,43.20%,79.20%,87.40%,87.70%,87.70%
34,Longchamp,Satchel,$97.18,312,82.10%,91.00%,95.20%,97.10%,97.10%,97.10%,97.10%
35,Burberry,Jacket,$264.18,309,28.20%,41.40%,57.00%,79.30%,82.80%,82.80%,82.80%
36,Marc Jacobs,Crossbody Bag,$111.16,301,35.20%,54.50%,72.80%,85.00%,87.00%,87.00%,87.00%
37,Max Mara,Casual Dress,$168.62,296,15.50%,28.70%,41.90%,72.00%,83.40%,84.80%,85.50%
38,Prada,Sandals,$212.59,288,19.40%,30.90%,43.40%,74.70%,81.30%,81.30%,81.30%
39,Burberry,Sunglasses,$129.35,269,48.00%,65.10%,77.00%,87.40%,90.30%,90.30%,90.30%
40,Tory Burch,Flats,$56.50,267,52.80%,75.70%,87.60%,91.40%,92.90%,92.90%,92.90%
41,Louis Vuitton,Crossbody Bag,$623.14,265,16.20%,23.80%,42.30%,80.80%,83.80%,83.80%,83.80%
42,Chanel,Sunglasses,$233.25,264,40.50%,52.70%,67.00%,89.80%,90.50%,90.50%,90.50%
43,Marc Jacobs,Leather Satchel,$179.99,260,34.20%,50.40%,67.30%,88.50%,92.70%,92.70%,92.70%
44,Kate Spade New York,Leather Satchel,$92.64,259,34.00%,54.10%,73.00%,84.60%,86.50%,86.50%,86.50%
45,Tory Burch,Sandals,$63.85,252,67.50%,79.00%,86.10%,91.30%,92.90%,92.90%,92.90%
46,Chloé,Sunglasses,$159.53,245,19.60%,35.50%,51.00%,84.10%,91.00%,91.00%,91.00%
47,Prada,Flats,$204.33,243,15.60%,26.30%,45.30%,75.70%,83.10%,83.10%,83.10%
48,Chloé,Flats,$149.17,243,10.70%,21.00%,37.40%,67.90%,82.30%,82.30%,82.30%
49,Gucci,Leather Wallet,$207.09,230,21.70%,28.70%,41.30%,75.20%,86.50%,86.50%,86.50%
50,Céline,Sunglasses,$209.18,229,22.70%,36.20%,51.10%,75.50%,86.50%,86.50%,86.50%
51,Michael Kors,Cocktail Dress,$205.19,228,4.40%,9.60%,17.10%,44.30%,64.90%,68.40%,69.70%
52,Longchamp,Backpack,$83.50,228,75.90%,88.60%,92.50%,94.30%,94.30%,94.30%,94.30%
53,MARNI,Casual Dress,$216.99,226,10.20%,14.60%,24.30%,70.80%,78.80%,81.90%,81.90%
54,Louis Vuitton,Satchel,$654.94,226,23.90%,38.10%,53.10%,87.60%,92.00%,92.00%,92.00%
55,Longchamp,Shoulder Bag,$89.13,224,79.90%,87.10%,90.60%,92.90%,93.30%,93.30%,93.30%
56,Burberry,Cashmere Scarf,$209.43,222,46.80%,60.40%,75.20%,90.10%,92.30%,92.30%,92.30%
57,Versace,Sunglasses,$141.66,222,32.90%,50.90%,64.40%,86.00%,90.10%,90.10%,90.10%
58,Marc Jacobs,Leather Shoulder Bag,$168.67,220,29.50%,46.40%,59.10%,87.30%,91.80%,91.80%,91.80%
59,Marc Jacobs,Tote,$114.62,219,58.90%,72.60%,86.80%,93.20%,93.60%,93.60%,93.60%
60,Chanel,Flats,$380.54,218,27.10%,36.70%,54.60%,81.70%,86.70%,86.70%,86.70%
61,Coach,Leather Crossbody Bag,$96.10,215,70.70%,87.00%,93.00%,94.00%,94.00%,94.00%,94.00%
